mode,epoch,loss,accuracy,class0_accuracy,class1_accuracy
train,0,0.01836406972259283,87.0,0.894,0.846
train,1,0.009224072883371263,94.4,0.942,0.946
train,2,0.005562258804216981,96.9,0.97,0.968
train,3,0.00287102943030186,98.2,0.984,0.98
train,4,0.0018621519112493844,99.0,0.992,0.988
train,5,0.0016865788028226235,99.4,0.994,0.994
train,6,0.000581991096609272,100.0,1.0,1.0
train,7,0.0003726316828397103,99.9,1.0,0.998
train,8,0.000742045855455217,99.7,0.996,0.998
train,9,0.00045705604160320944,99.9,0.998,1.0
valid,0,0.2519223630800843,89.625,0.935,0.8575
valid,1,0.2775629373826087,89.5,0.9175,0.8725
valid,2,0.2766231918055564,90.625,0.94,0.8725
valid,3,0.2741100692655891,91.75,0.94,0.895
valid,4,0.32116577627137305,90.625,0.935,0.8775
valid,5,0.36024271573871375,90.0,0.9575,0.8425
valid,6,0.3793898486346006,89.875,0.935,0.8625
valid,7,0.36792584368173264,89.875,0.905,0.8925
valid,8,0.4661174847139046,90.0,0.92,0.88
valid,9,0.4525722805550322,89.75,0.945,0.85
