state,epoch,loss,accuracy,class0_accuracy,class1_accuracy
train,0,0.017869369883090257,86.7,0.9,0.834
train,1,0.009376003938727081,93.6,0.918,0.954
train,2,0.0062107372004538775,95.7,0.954,0.96
train,3,0.004273762566503137,97.9,0.984,0.974
train,4,0.0024228067805524916,98.9,0.99,0.988
train,5,0.00113002058834536,99.5,0.996,0.994
train,6,0.0013686472126864828,99.1,0.99,0.992
train,7,0.0012643786321859807,99.4,0.996,0.992
train,8,0.0008006632268952672,99.6,0.996,0.996
train,9,0.0006073613482330984,99.7,0.998,0.996
valid,0,0.2577500336617231,89.375,0.9075,0.88
valid,1,0.24156922690570354,90.0,0.9,0.9
valid,2,0.28857035089284183,88.75,0.915,0.86
valid,3,0.2680854100454599,89.125,0.8775,0.905
valid,4,0.33569687550887467,90.875,0.9375,0.88
valid,5,0.3339828905183822,91.625,0.91,0.9225
valid,6,0.30550657261162995,90.625,0.89,0.9225
valid,7,0.33730795346782544,89.875,0.8775,0.92
valid,8,0.3382508734241128,90.75,0.9275,0.8875
valid,9,0.3530878767883405,90.625,0.905,0.9075
